date,game_code,game_time,game_status,lineup_status,team,team_code,player_type,player_id,name,batting_order,position,batting_hand,throwing_hand,role
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,pitcher,76715,류현진,0,투수,,좌투,선발투수
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,66704,김태연,1,좌익수,우타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,53764,문현빈,2,지명타자,좌타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,55734,플로리얼,3,중견수,좌타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,69737,노시환,4,3루수,우타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,79192,채은성,5,1루수,우타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,79608,안치홍,6,2루수,우타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,50704,임종찬,7,우익수,좌타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,78288,최재훈,8,포수,우타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,64006,심우준,9,유격수,우타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,pitcher,54119,에르난데스,0,투수,,우투,선발투수
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,66108,홍창기,1,우익수,좌타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,68110,송찬의,2,좌익수,우타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,53123,오스틴,3,1루수,우타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,69102,문보경,4,3루수,좌타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,79109,오지환,5,유격수,좌타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,79365,박동원,6,포수,우타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,52121,문정빈,7,지명타자,우타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,62415,박해민,8,중견수,좌타,,선발타자
2025-03-25,20250325HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,69100,구본혁,9,2루수,우타,,선발타자
